anyo,inicio,fin
1989,20-09-1989,16-10-1989
1990,20-09-1990,12-10-1990
1991,04-10-1991,20-10-1991
1992,06-10-1992,26-10-1992
1993,08-10-1993,02-11-1993
1994,21-09-1994,14-10-1994
1995,23-09-1995,17-10-1995
1996,23-09-1996,29-10-1996
1997,23-09-1997,04-11-1997
1998,25-09-1998,06-11-1998
1999,28-09-1999,17-11-1999
2000,26-09-2000,12-11-2000
2001,17-09-2001,31-10-2001
2002,26-09-2002,30-10-2002
2003,11-09-2003,25-10-2003
2004,18-09-2004,15-11-2004
2005,05-09-2005,27-10-2005
2006,04-09-2006,27-10-2006
2007,27-09-2007,03-11-2007
2008,01-10-2008,17-11-2008
2009,09-09-2009,27-10-2009
2010,20-09-2010,03-11-2010
2011,10-09-2011,28-10-2011
2012,12-09-2012,01-11-2012
2013,25-09-2013,18-11-2013
2014,10-09-2014,30-10-2014
2015,07-09-2015,14-10-2015
2016,22-09-2016,07-11-2016
2017,08-09-2017,20-10-2017
