year,recruitment,high,low,biomass,high,low,catch
1978,36254400,48435260,24073540,519250,681161,357339,145609
1979,42282000,56015640,28548360,673759,884216,463302,157241
1980,48279400,62933460,33625340,847100,1099904,594296,194802
1981,29888500,40398020,19378980,1016040,1302875,729205,216517
1982,16093600,23713500,8473700,945305,1215241,675369,206946
1983,71388800,86662840,56114760,747620,975785,519455,183837
1984,21284100,29095200,13473000,1163730,1408436,919024,206005
1985,18615200,25193000,12037400,987669,1188337,787001,208439
1986,15832200,21789720,9874680,797987,960115,635859,187363
1987,34436500,42779760,26093240,643902,779540,508264,177696
1988,18675400,24606620,12744180,709409,841823,576995,161531
1989,17827500,23433280,12221720,628061,747019,509103,140961
1990,18664000,24444260,12883740,565453,674503,456403,149429
1991,54589000,64160220,45017780,520169,626679,413659,132587
1992,37157900,44535640,29780160,855475,992578,718372,130250
1993,16291400,20913540,11669260,966562,1102589,830535,142495
1994,14177300,17988280,10366320,814927,930284,699570,136582
1995,11103300,14139440,8067160,675905,772542,579268,125280
1996,15876700,19332400,12421000,541822,621746,461898,116736
1997,10671500,13482900,7860100,481004,551959,410049,115814
1998,13613200,16777740,10448660,389790,451681,327899,108924
1999,10490400,13399720,7581080,374188,435390,312986,94091
2000,32442700,38097680,26787720,320879,378422,263336,85786
2001,20113300,24529540,15697060,482370,557202,407538,101957
2002,11336900,14566620,8107180,496553,573052,420054,99673
2003,8913870,11888950,5938790,471972,547425,396519,97831
2004,37750200,43156440,32343960,412877,483871,341883,98020
2005,13165100,16073120,10257080,552191,633671,470711,97345
2006,4211350,5693490,2729210,647079,729964,564194,87023
2007,5787690,7352958,4222422,509834,575831,443837,96469
2008,7428350,9071960,5784740,394772,447214,342330,101464
2009,8483120,10064766,6901474,295909,336503,255315,87740
2010,4832010,5975504,3688516,247453,280046,214860,89571
2011,3949080,4945576,2952584,177018,203244,150792,80403
2012,4202470,5200714,3204226,130021,153844,106198,54857
2013,4556910,5711584,3402236,118062,142445,93679,45818
2014,3254200,4287154,2221246,119032,147190,90874,27937
2015,5736580,7543358,3929802,112943,143184,82702,20595
2016,6596320,8928520,4264120,143795,184079,103511,22704
2017,2307970,3617824,998116,175449,229217,121681,21911
